1;Consultorio de Otxandio;Elixoste, 11, 48210 Otxandio (Bizkaia);48210;Otxandio;09:00 - 13:00;Consultorio;
2;Consultorio de Ataun-San Martin;Barrio Elbarrena, 15-D, 20211 Ataun (Gipuzkoa);20211;Ataun;09:00 - 13:00;Consultorio;943805560
3;Hospital de Leza;Hospital de Leza, 1, 01309 Laguardia (Álava);01309;Laguardia;24 horas;Hospital;945006900
4;C.S. DE CAMPEZO;Juntas Generales, 6, 01110 Campezo/Kanpezu (Álava);01110;Campezo/Kanpezu;24 horas;PAC;945415345
5;Centro de Salud de Lekeitio;Barrio Larrotegi, 1, 48280 Lekeitio (Bizkaia);48280;Lekeitio;08:00 - 20:00;Centro de Salud;
6;Consultorio de La Arboleda;Pérez Galdós, 7, 48520 Valle de Trápaga-Trapagaran (Bizkaia);48520;Valle de Trápaga-Trapagaran;09:00 - 13:00;Consultorio;946604056
7;Consultorio de Lantarón-Salcedo;El Ayuntamiento, 2, 01213 Lantarón (Álava);01213;Lantarón;09:00 - 13:00;Consultorio;945351011
8;Centro de Salud de Ondarroa;Ibaiondo, 6, 48700 Ondarroa (Bizkaia);48700;Ondarroa;08:00 - 20:00;Centro de Salud;
9;PAC DE LEKEITIO;Barrio Larrotegi, 1, 48280 Lekeitio (Bizkaia);48280;Lekeitio;24 horas;PAC;946035860
10;Ambulatorio de Gros;Avenida Navarra, 14, 20013 Donostia / San Sebastián (Gipuzkoa);20013;Donostia / San Sebastián;08:00 - 20:00;Ambulatorio;943007909
11;Centro de Salud de Altamira;Barrio Altamira, 19-A, 48002 Bilbao (Bizkaia);48002;Bilbao;08:00 - 20:00;Centro de Salud;
12;Centro de Salud Mental de Tolosa;Barrio San Esteban, 21-B, 20400 Tolosa (Gipuzkoa);20400;Tolosa;08:00 - 15:00;Centro de Salud Mental;943006889
13;C.S. DE SALVATIERRA-AGURAIN;Carretera Zuazo, s/n, 01200 Agurain/Salvatierra (Álava);01200;Agurain/Salvatierra;24 horas;PAC;945300023
14;PUNTO DE REFUERZO DE ATENCIÓN DE DR. AREILZA;Alameda Doctor Areilza, 12, 48011 Bilbao (Bizkaia);48011;Bilbao;24 horas;PAC;946006800
15;Consultorio de Valdegovia;El Llano, 11-B, 01426 Valdegovía/Gaubea (Álava);01426;Valdegovía/Gaubea;09:00 - 13:00;Consultorio;
16;Hospital de Día de Gernika;San Juan, 1, 48300 Gernika-Lumo (Bizkaia);48300;Gernika-Lumo;24 horas;Hospital de Día;946029030
17;Consultorio de Arraia-Maeztu;Herrería, 9, 01120 Arraia-Maeztu (Álava);01120;Arraia-Maeztu;09:00 - 13:00;Consultorio;945415345
